iter	RMSE
166	105469.244
167	105347.7932
168	105250.0269
169	105114.7911
170	104939.2516
171	104825.2116
172	104621.233
173	104471.1286
174	104370.7983
175	104264.927
176	104171.6361
177	104079.7134
178	103986.4684
179	103882.2918
180	103812.9382
181	103707.0617
182	103614.5236
183	103391.98
184	103277.3914
185	103167.8049
186	103022.1402
187	102886.1417
188	102767.9953
189	102667.827
190	102568.9495
191	102440.9445
192	102346.126
193	102216.9511
194	102080.5242
195	101976.4094
196	101873.1473
197	101709.6266
198	101610.8136
199	101520.3475
200	101412.1467
201	101322.2737
202	101145.8263
203	101031.0888
204	100891.9921
205	100711.5392
206	100558.3722
207	100487.5872
208	100425.43
209	100304.1419
210	100171.8842
211	100067.1558
212	99969.34371
213	99890.92205
214	99791.86215
215	99666.045
216	99578.00366
217	99481.69588
218	99408.59393
219	99283.24836
220	99225.83381
221	99106.03655
222	99026.7604
223	98971.4612
224	98891.01637
225	98790.45746
226	98707.74807
227	98611.67615
228	98456.30609
229	98339.39054
230	98227.59367
231	98157.76485
232	98071.54693
233	98003.63144
234	97923.95026
235	97866.40697
236	97797.58162
237	97755.93106
238	97681.51837
239	97614.58104
240	97509.78253
241	97436.04787
242	97378.35423
243	97340.8204
244	97282.77657
245	97185.6802
246	97109.41981
247	97045.81022
248	96991.84473
249	96918.29315
250	96841.24894
251	96747.38045
252	96639.41146
253	96561.11418
254	96496.42447
255	96387.00985
256	96306.18988
257	96217.63077
258	96167.11905
259	96111.64941
260	96056.06414
261	95978.10598
262	95901.68722
263	95803.39532
264	95711.77947
265	95617.32848
266	95541.04488
267	95464.08036
268	95382.86212
269	95279.491
270	95185.70463
271	95101.88488
272	95013.05755
273	94922.47652
274	94869.02745
275	94795.99658
276	94707.04741
277	94635.03346
278	94519.43236
279	94408.54239
280	94305.38541
281	94226.14448
282	94150.72449
283	94095.30546
284	93991.09464
285	93952.77234
286	93896.32421
287	93844.27674
288	93792.57622
289	93735.25863
290	93669.46342
291	93603.80194
292	93542.06155
293	93472.997
294	93366.94962
295	93309.14747
296	93242.74968
297	93205.55151
298	93118.96484
299	93054.71285
300	92998.57771
301	92952.76187
302	92880.87038
303	92834.37316
304	92780.61826
305	92696.50939
306	92622.19075
307	92554.50871
308	92497.22005
309	92441.68183
310	92402.59348
311	92365.09203
312	92309.79279
313	92252.11333
314	92179.59692
315	92108.57482
316	92047.46668
317	91979.78942
318	91852.75171
319	91794.73316
320	91740.26925
321	91681.14366
322	91608.54577
323	91513.56938
324	91445.81252
325	91402.39461
326	91345.20199
327	91305.81161
328	91247.26389
329	91190.36833
330	91103.28468
331	91052.82887
332	91030.57606
333	90984.8469
334	90943.08381
335	90889.63161
336	90850.9795
337	90810.70831
338	90767.80097
339	90712.94495
340	90639.55093
341	90572.72827
342	90531.13658
343	90470.72286
344	90366.94535
345	90283.396
346	90239.74036
347	90178.28246
348	90128.01696
349	90086.40555
350	90030.63945
351	89986.27968
352	89933.97943
353	89898.35558
354	89858.73798
355	89800.28667
356	89721.77277
357	89660.0606
358	89591.31465
359	89528.99976
360	89483.79752
361	89423.07478
362	89381.95248
363	89325.1261
364	89269.50228
365	89201.76492
366	89147.2898
367	89091.0141
368	89021.62582
369	88992.77808
370	88938.96826
371	88895.29761
372	88845.19844
373	88799.02874
374	88722.55578
375	88649.80395
376	88569.68878
377	88513.90283
378	88463.66147
379	88423.29432
380	88352.73965
381	88288.47132
382	88236.40249
383	88186.36441
384	88140.09015
385	88094.73763
386	88045.38292
387	87999.74181
388	87955.91871
389	87898.81323
390	87856.01675
391	87811.85375
392	87768.22075
393	87720.51375
394	87666.57067
395	87602.63197
396	87550.32918
397	87519.01053
398	87479.24984
399	87410.57493
400	87363.20726
401	87297.74906
402	87243.70795
403	87200.67658
404	87144.34202
405	87103.35157
406	87066.13175
407	87030.25503
408	86961.56394
409	86933.37819
410	86880.17762
411	86853.74547
412	86813.26851
413	86772.9404
414	86736.90782
415	86681.34227
416	86640.125
417	86601.58266
418	86541.99331
419	86510.61818
420	86462.26251
421	86415.75593
422	86367.85656
423	86320.55907
424	86288.75284
425	86238.74828
426	86177.81039
427	86124.84809
428	86082.72947
429	86034.63545
430	85984.32744
431	85944.67354
432	85897.68265
433	85842.79611
434	85810.52145
435	85772.433
436	85719.91354
437	85660.67501
438	85604.28902
439	85543.40836
440	85507.66727
441	85469.54478
442	85428.70252
443	85366.85428
444	85293.03806
445	85258.90138
446	85212.81111
447	85189.44022
448	85158.90675
449	85129.27264
450	85066.03346
451	85022.62853
452	84978.41488
453	84950.39327
454	84913.40412
455	84876.02309
456	84841.82721
457	84779.13754
458	84746.66701
459	84698.95168
460	84639.73952
461	84610.93668
462	84568.40786
463	84537.65108
464	84495.29245
465	84467.42215
466	84436.40942
467	84383.22128
468	84352.4982
469	84310.87835
470	84281.42283
471	84240.04179
472	84205.21132
473	84172.79952
474	84133.19083
475	84087.80236
476	84062.28788
477	84010.76535
478	83981.91512
479	83937.60679
480	83908.9098
481	83872.32953
482	83832.98393
483	83790.9768
484	83748.81082
485	83720.06998
486	83685.61747
487	83643.40089
488	83573.08217
489	83548.78214
490	83497.88034
491	83462.0534
492	83435.48585
493	83402.05607
494	83359.44123
495	83331.86892
496	83298.00349
497	83249.55558
498	83190.30522
499	83158.99998
500	83130.4294
501	83101.90349
502	83061.29305
503	83023.22247
504	82995.46983
505	82955.02004
506	82928.05565
507	82906.03179
508	82882.48937
509	82845.78526
510	82811.08798
511	82778.21921
512	82740.34039
513	82708.75072
514	82683.34778
515	82660.48992
516	82620.41484
517	82569.49952
518	82540.11747
519	82515.71492
520	82482.24948
521	82452.83153
522	82421.6534
523	82390.94326
524	82350.62563
525	82286.29039
526	82238.01389
527	82207.16477
528	82157.89255
529	82109.62985
530	82067.37199
531	82015.89147
532	81977.60823
533	81955.31837
534	81926.93374
535	81890.11443
536	81843.60307
537	81797.68609
538	81759.97216
539	81738.16214
540	81719.93526
541	81680.01455
542	81649.19905
543	81591.94366
544	81546.81963
545	81504.51929
546	81480.86983
547	81453.69991
548	81425.59488
549	81392.91496
550	81371.18467
551	81337.96588
552	81276.86684
553	81252.34594
554	81206.59387
555	81190.628
556	81157.95049
557	81131.6363
558	81067.77802
559	81029.04467
560	80999.49926
561	80978.73248
562	80951.20821
563	80917.84042
564	80891.23265
565	80863.06361
566	80829.82318
567	80780.95327
568	80755.71204
569	80730.57515
570	80704.75237
571	80664.7054
572	80631.63379
573	80593.31571
574	80574.76407
575	80551.06439
576	80526.98407
577	80490.31803
578	80452.59897
579	80427.44449
580	80375.29035
581	80347.70265
582	80322.5821
583	80306.62618
584	80274.31095
585	80242.8155
586	80212.29106
587	80183.33142
588	80158.03532
589	80120.54995
590	80095.09744
591	80061.94791
592	80025.33123
593	79978.57535
594	79948.0996
595	79917.1336
596	79902.22385
597	79866.57777
598	79841.05234
599	79811.59222
600	79753.22189
601	79725.40718
602	79702.13063
603	79677.86608
604	79641.07752
605	79612.07768
606	79590.26151
607	79559.75335
608	79540.18628
609	79521.95406
610	79484.24007
611	79444.09081
612	79402.63339
613	79369.25976
614	79349.67004
615	79326.22796
616	79278.31907
617	79237.20602
618	79207.26612
619	79189.56884
620	79159.1299
621	79123.02865
622	79079.94476
623	79042.97983
624	79008.56128
625	78976.51589
626	78956.7077
627	78943.43806
628	78906.67283
629	78869.88181
630	78837.37709
631	78799.72818
632	78762.6111
633	78728.42909
634	78697.30853
635	78658.36019
636	78636.36295
637	78605.87091
638	78550.94718
639	78523.43196
640	78502.26543
641	78476.88714
642	78439.54296
643	78400.28633
644	78359.81673
645	78331.5717
646	78295.2865
647	78273.83587
648	78241.99978
649	78219.90259
650	78199.71402
651	78168.89679
652	78143.6097
653	78121.92274
654	78093.851
655	78068.69507
656	78044.89383
657	78010.3051
658	77964.76167
659	77941.64112
660	77920.52216
661	77902.52228
662	77862.52061
663	77817.40175
664	77786.44449
665	77769.16864
666	77743.67651
667	77723.45524
668	77681.44342
669	77661.58401
670	77649.62232
671	77622.91462
672	77601.52577
673	77570.32147
674	77520.17393
675	77491.16002
676	77467.91167
677	77443.89762
678	77397.68756
679	77364.9447
680	77333.88906
681	77301.96484
682	77280.41295
683	77251.06885
684	77232.95753
685	77217.12221
686	77199.64064
687	77160.46668
688	77142.78385
689	77116.79427
690	77091.39874
691	77075.8028
692	77042.54778
693	77027.48273
694	76993.82225
695	76974.33364
696	76956.01718
697	76923.01502
698	76891.05247
699	76860.19162
700	76841.28044
701	76811.94583
702	76784.54149
703	76765.77579
704	76726.36338
705	76699.34779
706	76669.6667
707	76632.44219
708	76602.67542
709	76590.24212
710	76565.56448
711	76541.23741
712	76510.87422
713	76491.40979
714	76463.24458
715	76430.72893
716	76410.62299
717	76372.17593
718	76349.58358
719	76319.92324
720	76299.48626
721	76264.92558
722	76242.86658
723	76209.59858
724	76186.3261
725	76157.02602
726	76126.90482
727	76099.35897
728	76073.96744
729	76056.95187
730	76032.83836
731	75999.47589
732	75975.11992
733	75943.5532
734	75915.90391
735	75897.74864
736	75884.49312
737	75861.80312
738	75836.38145
739	75816.71209
740	75797.72942
741	75779.04474
742	75754.24325
743	75729.64624
744	75706.17494
745	75682.89948
746	75658.38778
747	75641.63381
748	75619.61358
749	75597.46453
750	75576.72976
751	75550.10577
752	75538.15913
753	75512.69085
754	75473.51946
755	75455.55056
756	75431.46815
757	75415.29089
758	75393.34541
759	75371.95138
760	75348.68266
761	75315.81319
762	75285.86748
763	75265.40187
764	75241.70468
765	75221.98391
766	75175.42308
767	75151.60657
768	75116.99674
769	75097.7705
770	75075.28628
771	75032.75809
772	75014.63844
773	74992.13563
774	74961.7895
775	74932.34625
776	74898.72541
777	74862.87224
778	74833.15813
779	74809.05154
780	74789.28383
781	74767.07759
782	74730.37798
783	74720.15352
784	74696.04425
785	74671.23334
786	74637.34262
787	74608.73473
788	74594.27974
789	74565.81816
790	74549.01836
791	74515.57126
792	74484.96262
793	74470.60008
794	74445.18609
795	74427.15398
796	74416.40362
797	74382.91415
798	74352.08061
799	74327.00222
800	74297.06742
801	74279.88257
802	74262.24582
803	74238.51528
804	74208.29765
805	74184.22111
806	74162.01988
807	74130.53733
808	74107.54833
809	74089.36256
810	74070.0808
811	74045.85818
812	74008.72065
813	73994.86829
814	73940.09037
815	73915.01573
816	73891.09484
817	73865.46037
818	73843.56461
819	73817.2559
820	73788.45889
821	73772.79924
822	73757.66719
823	73729.67989
824	73709.62021
825	73687.1693
826	73660.28894
827	73633.99874
828	73595.0123
829	73559.77288
830	73538.64888
831	73517.52459
832	73499.99722
833	73476.85969
834	73456.69439
835	73426.89076
836	73404.00134
837	73387.37762
838	73359.91167
839	73345.23603
840	73324.25599
841	73299.1544
842	73270.43569
843	73248.92237
844	73232.20082
845	73206.48631
846	73183.54657
847	73164.7354
848	73140.64686
849	73122.64551
850	73092.77922
851	73044.83222
852	73010.69494
853	72988.9528
854	72961.02167
855	72937.48251
856	72913.32407
857	72898.5871
858	72879.96778
859	72859.00096
860	72839.49684
861	72807.98837
862	72794.68746
863	72773.07045
864	72755.61734
865	72735.01821
866	72706.87376
867	72684.80073
868	72673.34071
869	72656.75279
870	72639.09852
871	72619.48489
872	72603.88921
873	72587.90878
874	72564.34916
875	72544.71391
876	72525.42145
877	72496.82074
878	72475.21765
879	72455.46487
880	72434.32345
881	72402.51136
882	72379.80387
883	72367.97663
884	72355.91317
885	72330.5278
886	72309.64193
887	72299.37131
888	72281.57509
889	72268.78305
890	72248.9473
891	72227.05717
892	72215.08423
893	72199.53521
894	72177.53376
895	72145.97637
896	72119.09374
897	72097.55017
898	72084.0327
899	72060.48377
900	72048.5546
901	72020.48461
902	72005.06336
903	71991.33152
904	71969.53718
905	71954.57667
906	71928.68639
907	71906.96067
908	71871.25055
909	71850.60201
910	71817.49403
911	71797.99384
912	71782.48054
913	71757.83503
914	71742.27438
915	71730.87178
916	71717.60516
917	71694.51551
918	71682.40927
919	71648.14598
920	71625.76365
921	71602.91634
922	71569.3596
923	71556.98348
924	71537.81073
925	71516.74004
926	71500.43051
927	71489.46183
928	71473.82567
929	71450.99567
930	71431.88043
931	71414.94862
932	71386.44161
933	71373.47773
934	71356.03371
935	71328.01676
936	71320.58444
937	71300.02415
938	71259.20638
939	71236.08089
940	71209.6754
941	71192.51881
942	71166.20785
943	71148.76439
944	71128.74767
945	71115.0195
946	71099.29208
947	71076.75852
948	71058.54626
949	71037.58802
950	71007.24085
951	70998.50641
952	70977.5278
953	70965.77099
954	70942.01207
955	70925.86305
956	70909.99481
957	70893.92337
958	70863.68545
959	70838.17661
960	70813.99963
961	70800.56037
962	70783.93208
963	70763.12114
964	70729.15101
965	70717.62731
966	70702.85236
967	70676.13111
968	70652.5746
969	70629.10881
970	70607.82694
971	70592.44808
972	70582.7973
973	70566.86319
974	70548.73621
975	70531.86153
976	70514.07796
977	70492.96841
978	70474.05378
979	70455.73363
980	70429.01105
981	70412.60553
982	70400.46076
983	70379.34824
984	70364.87892
985	70345.59258
986	70325.0162
987	70308.07994
988	70298.45293
989	70287.43415
990	70262.74958
991	70241.22216
992	70217.62363
993	70193.91802
994	70182.1346
995	70161.32419
996	70141.45866
997	70121.12344
998	70102.60652
999	70076.51179
