iter	Passed	Remaining
865	1735	268
866	1737	266
867	1739	264
868	1741	262
869	1743	260
870	1745	258
871	1747	256
872	1749	254
873	1751	252
874	1753	250
875	1755	248
876	1757	246
877	1758	244
878	1760	242
879	1762	240
880	1764	238
881	1766	236
882	1768	234
883	1770	232
884	1771	230
885	1773	228
886	1775	226
887	1777	224
888	1779	222
889	1781	220
890	1783	218
891	1785	216
892	1786	214
893	1788	212
894	1790	210
895	1792	208
896	1794	206
897	1796	204
898	1798	202
899	1800	200
900	1802	198
901	1804	196
902	1806	194
903	1808	192
904	1810	190
905	1812	188
906	1813	185
907	1816	184
908	1818	182
909	1820	180
910	1821	177
911	1823	175
912	1825	173
913	1827	171
914	1829	169
915	1831	167
916	1832	165
917	1834	163
918	1836	161
919	1838	159
920	1840	157
921	1842	155
922	1844	153
923	1846	151
924	1848	149
925	1850	147
926	1851	145
927	1853	143
928	1855	141
929	1857	139
930	1859	137
931	1861	135
932	1863	133
933	1864	131
934	1866	129
935	1869	127
936	1871	125
937	1872	123
938	1874	121
939	1876	119
940	1878	117
941	1880	115
942	1882	113
943	1884	111
944	1886	109
945	1888	107
946	1890	105
947	1892	103
948	1895	101
949	1898	99
950	1901	97
951	1905	96
952	1909	94
953	1912	92
954	1914	90
955	1917	88
956	1933	86
957	1943	85
958	1949	83
959	1952	81
960	1956	79
961	1962	77
962	1964	75
963	1966	73
964	1968	71
965	1972	69
966	1975	67
967	1977	65
968	1978	63
969	1981	61
970	1983	59
971	1986	57
972	1988	55
973	1989	53
974	1991	51
975	1993	49
976	1995	46
977	1998	44
978	2000	42
979	2002	40
980	2004	38
981	2006	36
982	2008	34
983	2011	32
984	2012	30
985	2015	28
986	2017	26
987	2019	24
988	2020	22
989	2023	20
990	2025	18
991	2027	16
992	2029	14
993	2031	12
994	2033	10
995	2035	8
996	2037	6
997	2039	4
998	2041	2
999	2043	0
